term,slug,chapter_first_introduced,plain_language_definition,formal_definition,common_confusion,link_instructions
"clamp trace","clamp-trace","Chapter 6","A graph recorded during a voltage-clamp or current-clamp experiment.","A time series showing controlled voltage, applied current, or measured current under clamp conditions.","A current trace and a voltage trace show different quantities.","Link first use in ch06 Read the Graph."
"closed state","closed-state","Chapter 7","The condition when a channel is not letting ions through.","A channel conformation with negligible ion conductance through the pore.","Closed does not mean destroyed; the channel can open later.","Link first use in ch07 Visual First or Core Concepts."
"coefficient of variation","coefficient-of-variation","Chapter 7","A unit-free measure of variability compared with the mean.","Standard deviation divided by mean, often used to compare relative spread across conditions.","A larger CV means more relative variability, not necessarily more spikes.","Link first use in ch07 Opening Question paragraph."
"concentration gradient","concentration-gradient","Chapter 2","A difference in how much of a substance is in two places.","A spatial difference in concentration that can drive diffusion from high concentration toward low concentration.","A gradient is not a wall; it is a difference that can push movement.","Link first use in ch02 Opening Question or What You Already Need to Know."
"concentration ratio","concentration-ratio","Chapter 2","One concentration divided by another concentration.","A dimensionless comparison such as outside concentration divided by inside concentration.","A ratio below 1 is not negative; its log10 can be negative.","Link first use in ch02 Core Concepts near Nernst equation."
"conductance","conductance","Chapter 6","How easily current can flow through a pathway.","The reciprocal of resistance, often representing ion-channel availability in membrane models.","Conductance is not voltage; it controls how strongly a pathway can influence voltage.","Link first use in ch06 Opening Question paragraph."
"current","current","Chapter 6","Movement of electric charge.","Charge flow per unit time, often carried by ions in neurons.","Current is not the same as voltage; current moves charge, voltage is a difference in potential.","Link first use in ch06 Opening Question paragraph."
"current clamp","current-clamp","Chapter 6","An experiment where the researcher injects current and watches voltage change.","An electrophysiological recording mode that controls applied current while measuring membrane voltage.","Current clamp is the opposite control logic from voltage clamp.","Add and link first use in ch06 after voltage clamp or in a mentor sidebar."
"CV","cv","Chapter 7","Short for coefficient of variation, a variability number with no unit.","CV = standard deviation / mean, often applied to interspike intervals.","CV is not measured in ms, even when it is calculated from ISIs in ms.","Link first use in ch07 Opening Question paragraph and ch08 recap."
"dendrite","dendrite","Chapter 1","A branched receiving region of a neuron.","A neuronal process specialized for receiving synaptic input and carrying graded signals toward integration regions.","Dendrites are not just decorative branches; they are input structures.","Link first use in ch01 Opening Question paragraph."
"depolarization","depolarization","Chapter 1","A voltage change where the inside becomes less negative.","A positive shift in membrane potential toward 0 mV or above.","Depolarization does not always mean the inside becomes positive; it may only become less negative.","Link first use in ch01 Worked Example and again in ch04 Opening Question."
"diffusion","diffusion","Chapter 2","Spreading from where there is more to where there is less.","Net movement down a concentration gradient due to random molecular motion.","Diffusion is not the only force on ions because electrical force also matters.","Link first use in ch02 Core Concepts."
"driving force","driving-force","Chapter 6","How far V_m is from the voltage an ion pathway pulls toward.","The voltage difference V_m - E for an ion pathway, which contributes to current size and direction.","Driving force is not the same as conductance; current depends on both.","Link first use in ch06 What You Already Need to Know."
"E_K","e_k","Chapter 6","The reversal or equilibrium potential for potassium.","The voltage at which net K+ current through a K+ pathway would be zero under specified conditions.","E_K is not always equal to the resting membrane potential, though it strongly influences it.","Link first use in ch06 Why This Matters."
"E_leak","e_leak","Chapter 6","The voltage target for leak pathways in a simple model.","The reversal potential assigned to the combined leak conductance in a membrane model.","Leak does not mean damage; it means resting pathway activity in the model.","Link first use in ch06 Visual First."
"E_Na","e_na","Chapter 6","The reversal or equilibrium potential for sodium.","The voltage at which net Na+ current through a Na+ pathway would be zero under specified conditions.","E_Na is a voltage target, not the sodium concentration itself.","Link first use in ch06 Why This Matters."
"electrical force","electrical-force","Chapter 2","Push or pull caused by electric charge.","The force on charged particles due to an electric field or voltage difference.","Electrical force can oppose diffusion; the two do not always point the same way.","Link first use in ch02 Core Concepts."
"electrochemical gradient","electrochemical-gradient","Chapter 2","The combined push from concentration difference and electrical attraction or repulsion.","The net driving influence on an ion from both chemical concentration gradient and electrical potential difference.","It is not only a concentration gradient; charge matters too.","Link first use in ch02 Visual First where concentration push and electrical pull are described."
"equilibrium potential","equilibrium-potential","Chapter 2","The voltage where one ion's chemical push and electrical pull balance.","The membrane potential at which net movement of a specific ion is zero for a given concentration gradient and permeability pathway.","It is for one ion at a time, not automatically the whole cell's voltage.","Link first use in ch02 Visual First."
"EPSP","epsp","Chapter 3","A small excitatory voltage change that moves V_m toward threshold.","Excitatory postsynaptic potential, a graded postsynaptic depolarization that increases spike likelihood.","An EPSP makes a spike more likely but does not guarantee one.","Link first use in ch03 Opening Question paragraph."
"evidence","evidence","Chapter 8","The graph, data, calculation, or observation that supports a claim.","Information used to evaluate a scientific claim.","Evidence must be interpreted; it does not explain itself.","Link first use in ch08 Opening Question paragraph."
"firing rate","firing-rate","Chapter 5","How many spikes happen per second.","Spike count divided by time, usually reported in hertz.","Firing rate does not show exact spike timing.","Link first use in ch05 Opening Question or Core Concepts."
"g_K","g_k","Chapter 6","Potassium conductance.","The conductance assigned to K+ channel pathways in a membrane model.","g_K is not the same as K+ concentration.","Link first use in ch06 Why This Matters."
"g_Na","g_na","Chapter 6","Sodium conductance.","The conductance assigned to Na+ channel pathways in a membrane model.","g_Na is not sodium current by itself; current also depends on driving force.","Link first use in ch06 Why This Matters."
"graded potential","graded-potential","Chapter 3","A small voltage change whose size can vary.","A local membrane potential change that can vary in amplitude and usually decays with distance or time.","Graded potentials are not all-or-none spikes.","Link first use in ch03 What You Already Need to Know or Core Concepts."
"graph label","graph-label","Chapter 8","Text on a graph that tells what an axis, line, or condition means.","A visual annotation that identifies variables, units, conditions, or plotted quantities.","A graph without labels may look scientific but cannot be interpreted reliably.","Link first use in ch08 What You Already Need to Know or Core Concepts."
"histogram","histogram","Chapter 5","A graph that counts how often values fall into ranges.","A distribution plot using bins to summarize frequency of numerical values.","A histogram is not the same as a time trace.","Link first use in ch05 Read the Graph."
"Hodgkin-Huxley model","hodgkin-huxley-model","Chapter 6","A famous model that describes spikes using membrane voltage and ion conductances.","A conductance-based mathematical model of action-potential generation using voltage-dependent Na+, K+, and leak currents.","The beginner goal is to understand the pieces, not derive the full equations.","Link first use in ch06 Opening Question paragraph."
"hyperpolarization","hyperpolarization","Chapter 1","A voltage change where the inside becomes more negative.","A negative shift in membrane potential away from 0 mV.","Hyperpolarization is not the same as repolarization; repolarization means returning after depolarization.","Link first use in ch01 Worked Example or ch04 Visual First."
"Hz","hz","Chapter 5","A unit meaning per second.","Hertz, cycles or events per second; in spike trains, spikes per second.","Hz is a rate unit, not a voltage unit.","Link first use in ch05 Core Concepts."
"I_app","i_app","Chapter 6","Applied current put into a model or experiment.","An externally imposed input current term in electrophysiology or membrane modeling.","I_app is input current, not the membrane voltage itself.","Link first use in ch06 Why This Matters."
"initial segment","initial-segment","Chapter 1","The early axon region where spikes often start.","The axon initial segment, a specialized membrane region with high density of voltage-gated channels.","It is closely related to the axon hillock but not identical in detailed anatomy.","Link first use in ch01 Opening Question paragraph."
"interspike interval","interspike-interval","Chapter 5","The time between one spike and the next.","The elapsed time between consecutive action potentials in a spike train.","ISI is a time interval, not a spike count.","Link first use in ch05 Core Concepts."
"ion","ion","Chapter 2","An atom or molecule with an electric charge.","A charged chemical species formed by gaining or losing electrons or by carrying charged groups.","Ions are not electrons; common neural ions include Na+, K+, Cl-, and Ca2+.","Link first use in ch02 Opening Question paragraph."
"IPSP","ipsp","Chapter 3","A small inhibitory voltage change that makes threshold harder to reach.","Inhibitory postsynaptic potential, a graded postsynaptic effect that decreases spike likelihood.","Inhibition is not simply turning off the neuron.","Link first use in ch03 Opening Question paragraph."
"ISI","isi","Chapter 5","Short for interspike interval.","The interval between consecutive spikes, usually measured in ms.","ISI and firing rate are related but not identical.","Link first use in ch05 Core Concepts."
"jitter","jitter","Chapter 7","Small variation in when spikes happen across trials.","Trial-to-trial variability in event timing.","Jitter can be measured; it is not just messy behavior.","Link first use in ch07 Opening Question or Core Concepts."
"K+","k","Chapter 2","A potassium ion with one positive charge.","A monovalent cation central to resting membrane potential and spike repolarization.","K+ often moves outward by diffusion but can be pulled inward electrically.","Link first use in ch02 Opening Question paragraph."
"leak channel","leak-channel","Chapter 2","A channel that is open at rest and lets some ions pass.","A resting membrane channel contributing baseline permeability, especially important for K+ in many neurons.","Leak does not mean the cell membrane is broken.","Link first use in ch02 Opening Question paragraph."
"leak conductance","leak-conductance","Chapter 6","The conductance of resting leak pathways in a model.","A model conductance representing channels active near rest, often grouped into a leak current.","It is a simplified combined pathway, not always one exact channel type.","Link first use in ch06 Visual First."
"limitation","limitation","Chapter 8","What a model, graph, or explanation cannot prove.","A boundary on interpretation caused by assumptions, missing data, measurement limits, or model simplification.","Stating a limitation makes the science stronger, not weaker.","Link first use in ch08 Opening Question paragraph."
"log10","log10","Chapter 2","The power of 10 needed to make a number.","The base-10 logarithm; for example, log10(100) = 2 because 10^2 = 100.","log10 of a number below 1 is negative, even though the number itself is positive.","Link first use in ch02 Core Concepts."
"mean ISI","mean-isi","Chapter 5","The average time between neighboring spikes.","The arithmetic mean of interspike intervals in a spike train.","Mean ISI summarizes intervals but can hide irregular timing.","Link first use in ch05 Core Concepts."
"membrane","membrane","Chapter 1","The thin boundary around a cell.","A lipid bilayer with embedded proteins that separates inside from outside and controls exchange.","The membrane is not just plastic wrap; it contains channels, receptors, and pumps.","Link first use in ch01 Opening Question paragraph."
"membrane potential","membrane-potential","Chapter 1","The voltage inside the cell compared with outside.","The electrical potential difference across the cell membrane, usually written V_m.","It does not mean the whole inside is full of extra negative charge.","Link first use in ch01 Core Concepts."
"metric","metric","Chapter 8","A number used to summarize something.","A quantitative measure such as firing rate, mean ISI, or CV.","A metric helps summarize evidence but does not replace looking at the graph.","Link first use in ch08 What You Already Need to Know."
"model","model","Chapter 8","A simplified version of a system used to understand or test an idea.","A conceptual, mathematical, or computational representation of selected parts of a real system.","A model is not the same as the real neuron.","Link first use in ch08 Opening Question paragraph."
"mV","mv","Chapter 1","Millivolts, a small unit of voltage.","One millivolt is one-thousandth of a volt.","mV measures voltage, not time or spike count.","Link first use in ch01 Core Concepts or Read the Graph."
"ms","ms","Chapter 4","Milliseconds, thousandths of a second.","One millisecond is 0.001 seconds.","ms is a time unit, not a voltage unit.","Link first use in ch04 What You Already Need to Know."
"myelin","myelin","Chapter 4","Insulating wrapping around some axons.","A glial membrane sheath that increases conduction efficiency and supports saltatory propagation.","Myelin does not create the message; it changes how efficiently spikes travel.","Link first use in ch04 Core Concepts."
"Na+","na","Chapter 2","A sodium ion with one positive charge.","A monovalent cation important for action-potential depolarization.","Na+ concentration and Na+ conductance are different ideas.","Link first use in ch02 Why This Matters."
"Na+/K+ pump","na-k-pump","Chapter 2","A protein that helps maintain sodium and potassium gradients.","The sodium-potassium ATPase that moves Na+ out and K+ in using ATP.","The pump maintains gradients over time but is not the direct whole cause of resting voltage.","Link first use in ch02 Common mistake."
"Nernst equation","nernst-equation","Chapter 2","A formula that estimates the balance voltage for one ion.","An equation relating an ion's equilibrium potential to its concentration ratio, charge, temperature, and constants.","It applies to one ion at a time, not automatically to all ions mixed together.","Link first use in ch02 Core Concepts."
"neuron","neuron","Chapter 1","A cell specialized for receiving, processing, and sending signals.","An excitable nervous-system cell that communicates through electrical and chemical signaling.","A neuron is a living cell, not a copper wire.","Link first use in ch01 Opening Question paragraph."
"neurotransmitter","neurotransmitter","Chapter 3","A chemical message released at a synapse.","A signaling molecule released by a presynaptic cell that binds receptors on a target cell.","Neurotransmitter does not become the voltage signal directly; it changes channel activity.","Link first use in ch03 Why This Matters."
"node of Ranvier","node-of-ranvier","Chapter 4","A gap between myelin segments where spikes are regenerated.","An unmyelinated axonal region enriched in voltage-gated channels, supporting saltatory conduction.","The spike does not literally teleport; it is regenerated at nodes.","Link first use in ch04 Core Concepts."
"noise","noise","Chapter 7","Random-looking variation in a signal or process.","Fluctuation in measured or biological variables due to stochastic processes, background activity, or measurement limits.","Noise can have causes and measurable patterns.","Link first use in ch07 Opening Question paragraph."
"open fraction","open-fraction","Chapter 7","The fraction of time or channels that are open.","Open time divided by total time, or number open divided by total number in a channel population.","Open fraction is a ratio with no unit, not a current.","Link first use in ch07 What You Already Need to Know."
"open state","open-state","Chapter 7","The condition when a channel lets ions pass.","A channel conformation with nonzero conductance through the pore.","Open state is all-or-none for one channel, but many channels together can create graded effects.","Link first use in ch07 Visual First or Core Concepts."
"overshoot","overshoot","Chapter 4","The part of a spike when V_m rises above 0 mV.","The positive-voltage phase of an action potential relative to the outside reference.","Overshoot is not the same as threshold.","Link first use in ch04 Opening Question paragraph."
"patch clamp","patch-clamp","Chapter 7","A method for recording tiny currents from a membrane patch or cell.","An electrophysiological technique using a glass pipette to measure ion-channel or whole-cell currents.","Patch clamp measures current or voltage depending on mode; it is not a microscope image.","Link first use in ch07 Visual First."
"permeability","permeability","Chapter 2","How easily something can cross a barrier.","The ability of ions or molecules to pass through a membrane, often controlled by channels and transporters.","Permeability is selective; membranes do not let every ion cross equally.","Link first use in ch02 Opening Question after selective permeability."
"postsynaptic cell","postsynaptic-cell","Chapter 3","The cell receiving a synaptic signal.","The target cell whose receptors respond to neurotransmitter released by a presynaptic cell.","Postsynaptic does not always mean a neuron; muscles and glands can also receive signals.","Link first use in ch03 Why This Matters."
"postsynaptic potential","postsynaptic-potential","Chapter 3","A voltage change in the receiving cell after synaptic input.","A graded membrane potential change caused by synaptic receptor activation.","It is not automatically an action potential.","Link first use in ch03 Core Concepts."
"presynaptic terminal","presynaptic-terminal","Chapter 3","The sending side of a synapse, often at an axon terminal.","A specialized neuronal ending that releases neurotransmitter onto a postsynaptic target.","Presynaptic refers to the sending side, not the receiving dendrite.","Link first use in ch03 Visual First."
"propagation","propagation","Chapter 4","Travel of a spike along an axon.","Sequential regeneration of an action potential along excitable membrane.","Propagation is not passive sliding of one fixed voltage bump.","Link first use in ch04 Opening Question paragraph."
"raster plot","raster-plot","Chapter 5","A graph where each tick mark shows a spike time on a trial.","A spike-time display with trials arranged on one axis and time on the other.","A raster shows timing; it is not a voltage trace.","Link first use in ch05 Visual First."
"rate code","rate-code","Chapter 5","Information represented by how often spikes occur.","A neural coding idea in which firing rate carries information about a stimulus or condition.","Rate coding does not mean timing never matters.","Link first use in ch05 Core Concepts."
"reasoning","reasoning","Chapter 8","The explanation that connects evidence to a claim.","The causal or logical bridge between data and conclusion.","Repeating the evidence is not the same as explaining why it supports the claim.","Link first use in ch08 Opening Question paragraph."
"receptor","receptor","Chapter 3","A protein that detects a signal such as a neurotransmitter.","A molecule, often a membrane protein, that binds a ligand and changes cell activity.","A receptor is not the same as a whole synapse.","Link first use in ch03 Why This Matters."
"refractory period","refractory-period","Chapter 4","A recovery time after a spike when firing again is harder.","A period after an action potential when ion-channel states reduce excitability.","It is not fatigue in the everyday sense; it comes from channel recovery and conductance changes.","Link first use in ch04 Opening Question paragraph."
"regeneration","regeneration","Chapter 4","Restarting the spike at the next patch of membrane.","Local reinitiation of an action potential as depolarization brings adjacent membrane to threshold.","Regeneration is not the same as repairing damage.","Link first use in ch04 Why This Matters."
"repolarization","repolarization","Chapter 4","The falling phase when voltage moves back toward negative values after a spike.","The return of membrane potential toward resting levels after depolarization, often involving K+ conductance.","Repolarization is not the same as hyperpolarization, though hyperpolarization can follow it.","Link first use in ch04 Opening Question paragraph."
"resting membrane potential","resting-membrane-potential","Chapter 2","The usual membrane voltage when a neuron is not firing.","The steady membrane potential set by ion gradients and resting membrane permeabilities.","It is not caused only by the Na+/K+ pump.","Link first use in ch02 Opening Question paragraph."
"reversal potential","reversal-potential","Chapter 6","The voltage where current through a pathway changes direction.","The membrane potential at which net ionic current through a specified pathway is zero and reverses sign across that voltage.","Reversal potential and equilibrium potential are closely related, but reversal potential is often used for a channel pathway or current.","Link first use in ch06 Opening Question paragraph."
"SD","sd","Chapter 7","Short for standard deviation.","A statistical measure of spread around a mean.","SD has the same unit as the measured quantity, unlike CV.","Link first use in ch07 What You Already Need to Know."
"selective permeability","selective-permeability","Chapter 2","The membrane lets some ions cross more easily than others.","Differential membrane permeability to ions or molecules due to lipid properties and membrane proteins.","Selective does not mean only one ion can ever cross.","Link first use in ch02 Opening Question paragraph."
"simulation","simulation","Chapter 8","Running a model to see what it predicts.","Computational execution of a model under chosen parameters or conditions.","Simulation output is not automatically biological proof.","Link first use in ch08 Opening Question paragraph."
"single channel","single-channel","Chapter 7","One ion-channel protein or channel pore.","An individual channel whose open and closed states can produce discrete current steps.","One channel opens all-or-none, but a whole membrane has many channels.","Link first use in ch07 Opening Question paragraph."
"soma","soma","Chapter 1","The cell body of a neuron.","The neuronal cell body containing the nucleus and much of the cell's metabolic machinery.","The soma supports and integrates, but it is not the only input region.","Link first use in ch01 Opening Question paragraph."
"source note","source-note","Chapter 8","A short note saying where a figure, data point, or idea came from.","Attribution text identifying origin, evidence type, access information, and reuse context.","A caption explains the figure; a source note documents provenance.","Link first use in ch08 Core Concepts or figure discussion."
"spatial summation","spatial-summation","Chapter 3","Adding inputs that arrive at different places on the neuron.","Integration of postsynaptic potentials from multiple synaptic locations.","Spatial summation is about location, not timing.","Link first use in ch03 Core Concepts."
"spike","spike","Chapter 4","A short name for an action potential.","A rapid, transient action potential event in membrane voltage.","A spike is not just any upward line on a graph.","Link first use in ch04 Opening Question paragraph."
"spike train","spike-train","Chapter 5","A sequence of spike times.","An ordered set of action potentials produced by a neuron over time.","Spike trains carry information through timing and rate, not spike height alone.","Link first use in ch05 Opening Question paragraph."
"standard deviation","standard-deviation","Chapter 7","A number that says how spread out values are.","A statistic measuring typical distance of values from their mean.","Standard deviation is not the range; it is a summary of spread around the mean.","Link first use in ch07 What You Already Need to Know."
"stochastic","stochastic","Chapter 7","Involving randomness in timing or outcome.","Describing a process whose individual events are probabilistic even if overall statistics are measurable.","Stochastic does not mean causeless.","Link first use in ch07 Opening Question paragraph."
"synapse","synapse","Chapter 1","A communication point between cells.","A specialized junction where a presynaptic cell influences a postsynaptic cell through chemical or electrical signaling.","A synapse is not just the gap; it includes sending and receiving machinery.","Link first use in ch01 Opening Question paragraph."
"synaptic cleft","synaptic-cleft","Chapter 3","The tiny gap between the sending and receiving sides of a chemical synapse.","The extracellular space across which neurotransmitter diffuses from presynaptic terminal to postsynaptic receptors.","The cleft is only one part of the synapse.","Link first use in ch03 Why This Matters."
"temporal summation","temporal-summation","Chapter 3","Adding inputs that arrive close together in time.","Integration of postsynaptic potentials across time when earlier signals have not fully faded.","Temporal summation is about timing, not location.","Link first use in ch03 Core Concepts."
"threshold","threshold","Chapter 3","The voltage level where a spike becomes likely.","A membrane potential at which positive feedback through voltage-gated channels can trigger an action potential.","Threshold is not a fixed universal number for all neurons.","Link first use in ch03 Opening Question paragraph."
"timing code","timing-code","Chapter 5","Information represented by exactly when spikes happen.","A neural coding idea in which spike timing patterns carry information beyond average firing rate.","Timing coding does not mean firing rate is irrelevant.","Link first use in ch05 Core Concepts."
"trial","trial","Chapter 5","One repeated run of the same stimulus or simulation.","A single repetition of an experiment, recording, or model condition.","A trial is not one spike; one trial can contain many spikes.","Link first use in ch05 Core Concepts."
"trial-to-trial variability","trial-to-trial-variability","Chapter 7","Differences between repeated runs of the same condition.","Variation in measured responses across trials under similar stimulus or model conditions.","Variability can be meaningful even when the average is unchanged.","Link first use in ch07 Exact terms line or Core Concepts."
"trigger zone","trigger-zone","Chapter 3","The region where combined inputs can start a spike.","A membrane region, often the axon initial segment, where voltage-gated channel density supports action-potential initiation.","The trigger zone does not think; it responds to voltage and channel properties.","Link first use in ch03 Why This Matters or Core Concepts."
"V_m","v_m","Chapter 2","The symbol for membrane potential.","Membrane voltage, usually inside potential relative to outside reference.","V_m is a voltage, not a current.","Link first use in ch02 What You Already Need to Know."
"voltage","voltage","Chapter 1","A difference in electrical potential between two places.","Electric potential difference, measured in volts or millivolts.","Voltage is not a substance moving down the axon.","Link first use in ch01 Core Concepts."
"voltage clamp","voltage-clamp","Chapter 6","An experiment where the researcher controls voltage and measures current.","An electrophysiological recording mode that holds membrane potential at commanded values while measuring the current required.","Voltage clamp records current responses; it does not simply watch natural voltage changes.","Link first use in ch06 Core Concepts."
"voltage-gated channel","voltage-gated-channel","Chapter 4","A channel that opens or closes depending on voltage.","An ion channel whose gating state depends on membrane potential.","Voltage-gated channels are not always open; their state depends on voltage and time.","Link first use in ch04 Opening Question paragraph."
