path,type,role,status,notes
minibook_v2/source/figures/asset_requirements.json,json,asset plan,canonical,Asset requirements and source notes
minibook_v2/source/figures/generated/,image folder,generated figures,canonical,Contains 61 generated visual assets
minibook_v2/source/animations/anim_01_action_potential_storyboard.md,md,animation storyboard,canonical,Action potential storyboard
minibook_v2/source/datasets/curated_data_assets.md,md,dataset notes,canonical,Student data asset guide
minibook_v2/source/datasets/allen_cell_types_example.md,md,dataset note,canonical,Allen example description
minibook_v2/source/datasets/synthetic_spike_times.csv,csv,dataset,canonical,Synthetic spike-time teaching data
minibook_v2/source/datasets/toy_pyramidal_morphology.swc,swc,dataset,canonical,Toy morphology file
minibook_v2/source/quizzes/chapter01.json,json,quiz,canonical,Week A quiz bank
minibook_v2/source/quizzes/chapter02.json,json,quiz,canonical,Week B quiz bank
minibook_v2/source/quizzes/chapter03.json,json,quiz,canonical,Week C quiz bank
minibook_v2/source/quizzes/chapter04.json,json,quiz,canonical,Week D quiz bank
minibook_v2/source/quizzes/chapter05.json,json,quiz,canonical,Week E quiz bank
minibook_v2/source/quizzes/chapter06.json,json,quiz,canonical,Week F quiz bank
minibook_v2/source/quizzes/chapter07.json,json,quiz,canonical,Week G quiz bank
minibook_v2/source/quizzes/chapter08.json,json,quiz,canonical,Week H quiz bank
minibook_v2/source/rubrics/assessment_checkpoint_plan.md,md,assessment plan,canonical,Three-layer assessment architecture
minibook_v2/source/rubrics/assessment_checkpoint_plan.json,json,assessment data,canonical,Structured assessment plan
minibook_v2/source/rubrics/weekly_mastery_rubric.md,md,rubric,canonical,Weekly mastery rubric
minibook_v2/source/rubrics/weekly_mastery_rubric.json,json,rubric data,canonical,Structured weekly rubric
minibook_v2/source/rubrics/capstone_rubric.md,md,rubric,canonical,Final project rubric
minibook_v2/source/rubrics/capstone_rubric.json,json,rubric data,canonical,Structured final project rubric
minibook_v2/source/exercises/README.md,md,exercise placeholder,needs extraction,Chapter exercises remain embedded in prose
minibook_v2/source/solutions/README.md,md,solution placeholder,needs extraction,Chapter answer keys remain embedded in prose
minibook_v2/exports/from_neuron_shape_to_noisy_spike_trains.html,html,export,current,Generated v2 HTML
minibook_v2/exports/from_neuron_shape_to_noisy_spike_trains.pdf,pdf,export,current,Generated v2 PDF
minibook_v2/exports/figures/,image folder,exported figures,current,Copied figure assets for v2 HTML
minibook_v2/planning/source_map.md,md,planning,active,Maps original sources into v2 structure
minibook_v2/planning/final_qa_notation_checklist.md,md,planning,active,Notation QA checklist
minibook_v2/planning/structural_audit.json,json,planning,active,Earlier structural audit
minibook_v2/planning/structured/,json folder,planning,active,Structured chapter JSON copies
neuro_book/intro.md,md,legacy manuscript,duplicate,Original source before v2 reorganization
neuro_book/chapters/,md folder,legacy chapters,duplicate,Eight original chapter files
neuro_book/appendices/,md folder,legacy appendices,duplicate,Original appendices
neuro_book/notebooks/,ipynb folder,legacy notebooks,duplicate,Original notebooks
neuro_book/figures/,image folder,legacy figures,duplicate,Original figure specs and generated assets
neuro_book/quizzes/,json folder,legacy quizzes,duplicate,Original quiz banks
neuro_book/rubrics/,md and json folder,legacy rubrics,duplicate,Original rubrics
outputs/from-neuron-shape-to-noisy-spike-trains/from_neuron_shape_to_noisy_spike_trains.html,html,previous export,legacy,Pre-v2 generated HTML
outputs/from-neuron-shape-to-noisy-spike-trains/from_neuron_shape_to_noisy_spike_trains.pdf,pdf,previous export,legacy,Pre-v2 generated PDF
outputs/from-neuron-shape-to-noisy-spike-trains/figures/,image folder,previous exported figures,legacy,Figure assets for pre-v2 export
outputs/student-neuro-biophysics-notes/student_neuro_biophysics_notes.html,html,earlier minibook draft,legacy,Earlier single-file notes version
outputs/student-neuro-biophysics-notes/external_images/,image folder,earlier image assets,legacy,External images used by earlier notes
colab_notebooks/monday_morning/README.md,md,slide course support,secondary,Companion notebook notes
colab_notebooks/monday_morning/00_Brain_Code_Colab_Warmup.ipynb,ipynb,slide course support,secondary,May inform code pedagogy
colab_notebooks/monday_morning/01_Brain_Code_Simple_Neuron_LIF.ipynb,ipynb,slide course support,secondary,May inform LIF activities
colab_notebooks/monday_morning/02_Brain_Code_Simple_Decision_DDM.ipynb,ipynb,slide course support,secondary,May inform optional decision model
Brain_Code_First_15_Minutes_HTML_Slides_v25/index.html,html,slide deck,secondary,Related summer-course slides
Brain_Code_First_15_Minutes_HTML_Slides_v25/assets/,image folder,slide assets,secondary,Visual assets for related slides
Brain_Code_HTML_Slides/index.html,html,slide deck,secondary,Related summer-course slides
Brain_Code_HTML_Slides/assets/,image folder,slide assets,secondary,Visual assets for related slides
Brain_Code_HTML_Slides_Humanized/index.html,html,slide deck,secondary,Related summer-course slides
Brain_Code_HTML_Slides_Humanized/assets/,image folder,slide assets,secondary,Visual assets for related slides
Brain_Code_Monday_Morning_Remaining_HTML_Slides_v1/index.html,html,slide deck,secondary,Related summer-course slides
Brain_Code_Monday_Morning_Remaining_HTML_Slides_v1/assets/,image folder,slide assets,secondary,Visual assets for related slides
website_publish/brain-code-slides/index.html,html,published slide export,secondary,Published version of related slides
website_publish/brain-code-slides/first-15/index.html,html,published slide export,secondary,Published first-15 slide export
website_publish/brain-code-slides/monday-morning/index.html,html,published slide export,secondary,Published Monday morning slide export
outputs/019e7539-3909-78a2-95f9-366020f6c2b6/,mixed,generated dependency tree,ignore,Contains presentation build outputs and vendored dependencies
